entityname,subtypename,typename
XQuery,XML data access,Query languages
RDF query language,RDF data access,Query languages
Versa (query language),RDF data access,Query languages
SQL:2003,SQL,Query languages
Alpha (programming language),SQL,Query languages
SQL:2011,SQL,Query languages
SQL:2008,SQL,Query languages
QUEL query languages,PostgreSQL,Query languages
Skyline operator,SQL,Query languages
Database Console Commands (Transact-SQL),SQL,Query languages
SPARQL,RDF data access,Query languages
Knitr,Free R (programming language) software,R (programming language)
Atom (programming language),Synchronous programming languages,Real-time computing
Ilibrarian,Free BibTeX software,Reference management software
JabRef,Free BibTeX software,Reference management software
Qiqqa,BibTeX,Reference management software
Qiqqa,Free BibTeX software,Reference management software
Paperpile,BibTeX,Reference management software
BibSonomy,BibTeX,Reference management software
BibBase,BibTeX,Reference management software
Docear,BibTeX,Reference management software
Docear,Free BibTeX software,Reference management software
WizFolio,BibTeX,Reference management software
BibDesk,Free BibTeX software,Reference management software
QUEL query languages,PostgreSQL,Relational database management systems
GNU GRUB,GNU GRUB,Research projects
Jena (framework),Triplestores,Resource Description Framework
JRDF (framework),Triplestores,Resource Description Framework
Stardog,Triplestores,Resource Description Framework
Sesame (framework),Triplestores,Resource Description Framework
Metaclass (Semantic Web),Web Ontology Language,Resource Description Framework
RDF query language,RDF data access,Resource Description Framework
RDFLib,RDF data access,Resource Description Framework
Redland RDF Application Framework,RDF data access,Resource Description Framework
StrixDB,RDF data access,Resource Description Framework
StrixDB,Triplestores,Resource Description Framework
Web Ontology Language,Web Ontology Language,Resource Description Framework
SPARQL,RDF data access,Resource Description Framework
Variable Assembly Language,Robot programming languages,Robotics software
RubySpec,Free software programmed in Ruby,Ruby (programming language)
RubyGems,Free software programmed in Ruby,Ruby (programming language)
Capistrano (software),Free software programmed in Ruby,Ruby (programming language)
JRuby,Free software programmed in Ruby,Ruby (programming language)
Rubinius,Free software programmed in Ruby,Ruby (programming language)
PL/pgSQL,PostgreSQL,SQL
Scala (programming language),Free software programmed in Scala,Scala (programming language)
ND4S,Free software programmed in Scala,Scala (programming language)
Deeplearning4j,Free software programmed in Scala,Scala (programming language)
Lift (web framework),Free software programmed in Scala,Scala (programming language)
SBT (software),Free software programmed in Scala,Scala (programming language)
PreScheme,Scheme (programming language) interpreters,Scheme (programming language)
PreScheme,Scheme (programming language) implementations,Scheme (programming language)
PreScheme,Scheme (programming language) interpreters,Scheme (programming language) implementations
Kawa (Scheme implementation),Scheme (programming language) interpreters,Scheme (programming language) implementations
Racket (programming language),Scheme (programming language) interpreters,Scheme (programming language) implementations
Racket (programming language),R6RS Scheme,Scheme (programming language) implementations
Racket (programming language),Scheme (programming language) compilers,Scheme (programming language) implementations
Larceny (Scheme implementation),Scheme (programming language) interpreters,Scheme (programming language) implementations
Larceny (Scheme implementation),R6RS Scheme,Scheme (programming language) implementations
Larceny (Scheme implementation),Scheme (programming language) compilers,Scheme (programming language) implementations
LispMe,Scheme (programming language) interpreters,Scheme (programming language) implementations
STklos,Scheme (programming language) interpreters,Scheme (programming language) implementations
Scheme 48,Scheme (programming language) interpreters,Scheme (programming language) implementations
Bigloo,Scheme (programming language) interpreters,Scheme (programming language) implementations
Bigloo,Scheme (programming language) compilers,Scheme (programming language) implementations
Pocket Scheme,Scheme (programming language) interpreters,Scheme (programming language) implementations
Mzscheme,Scheme (programming language) interpreters,Scheme (programming language) implementations
SCM (Scheme implementation),Scheme (programming language) interpreters,Scheme (programming language) implementations
SCM (Scheme implementation),Scheme (programming language) compilers,Scheme (programming language) implementations
Owl Lisp,Scheme (programming language) interpreters,Scheme (programming language) implementations
JScheme,Scheme (programming language) interpreters,Scheme (programming language) implementations
CHICKEN (Scheme implementation),Scheme (programming language) interpreters,Scheme (programming language) implementations
CHICKEN (Scheme implementation),Scheme (programming language) compilers,Scheme (programming language) implementations
RScheme,Scheme (programming language) interpreters,Scheme (programming language) implementations
RScheme,Scheme (programming language) compilers,Scheme (programming language) implementations
SISC,Scheme (programming language) interpreters,Scheme (programming language) implementations
SIOD,Scheme (programming language) interpreters,Scheme (programming language) implementations
Chez Scheme,Scheme (programming language) interpreters,Scheme (programming language) implementations
Chez Scheme,R6RS Scheme,Scheme (programming language) implementations
Chez Scheme,Scheme (programming language) compilers,Scheme (programming language) implementations
MIT/GNU Scheme,Scheme (programming language) interpreters,Scheme (programming language) implementations
MIT/GNU Scheme,Scheme (programming language) compilers,Scheme (programming language) implementations
Pvts,Scheme (programming language) interpreters,Scheme (programming language) implementations
Scsh,Scheme (programming language) interpreters,Scheme (programming language) implementations
Ypsilon (Scheme implementation),Scheme (programming language) interpreters,Scheme (programming language) implementations
Ypsilon (Scheme implementation),R6RS Scheme,Scheme (programming language) implementations
Gambit (scheme implementation),Scheme (programming language) interpreters,Scheme (programming language) implementations
Gambit (scheme implementation),Scheme (programming language) compilers,Scheme (programming language) implementations
Extension Language Kit,Scheme (programming language) interpreters,Scheme (programming language) implementations
Stalin (Scheme implementation),Scheme (programming language) compilers,Scheme (programming language) implementations
TinyScheme,Scheme (programming language) interpreters,Scheme (programming language) implementations
Ikarus (Scheme implementation),R6RS Scheme,Scheme (programming language) implementations
Ikarus (Scheme implementation),Scheme (programming language) compilers,Scheme (programming language) implementations
Gauche (Scheme implementation),Scheme (programming language) interpreters,Scheme (programming language) implementations
GNU Guile,Scheme (programming language) interpreters,Scheme (programming language) implementations
Rmetrics,Free R (programming language) software,Science software for Linux
Bioconductor,Free R (programming language) software,Science software for Linux
Bibliography and Index of Geology,Geographical databases,Scientific databases
GeoRef,Geographical databases,Scientific databases
Specification language,Specification languages,Scientific modeling
Modeling language,Specification languages,Scientific modeling
SenseTalk,XTalk,Scripting languages
HyperTalk,XTalk,Scripting languages
SuperTalk,XTalk,Scripting languages
XTalk,XTalk,Scripting languages
JavaScript Style Sheets,JavaScript,Scripting languages
Lua (programming language),Lua (programming language),Scripting languages
Lua (programming language),Lua-scripted video games,Scripting languages
Lua (programming language),Lua-scriptable game engines,Scripting languages
PHP,PHP software,Scripting languages
PHP,PHP,Scripting languages
Hack (programming language),PHP software,Scripting languages
JavaScript,Web programming,Scripting languages
JavaScript,JavaScript,Scripting languages
Google Apps Script,JavaScript,Scripting languages
ECMAScript,JavaScript programming language family,Scripting languages
ECMAScript,JavaScript dialect engines,Scripting languages
JScript,JavaScript programming language family,Scripting languages
JScript,JavaScript dialect engines,Scripting languages
Handlebars (template system),Template engines,Scripting languages
Handlebars (template system),JavaScript libraries,Scripting languages
TypeScript,JavaScript programming language family,Scripting languages
ActionScript,JavaScript programming language family,Scripting languages
ActionScript,ActionScript,Scripting languages
Dart (programming language),Web programming,Scripting languages
Dart (programming language),JavaScript programming language family,Scripting languages
Mako (template engine),Template engines,Scripting languages
CheetahTemplate,Template engines,Scripting languages
Genshi (templating language),Template engines,Scripting languages
Nevow,Template engines,Scripting languages
Kid (templating language),Template engines,Scripting languages
DataViva,Web programming,Scripting languages
CTPP,Template engines,Scripting languages
CTPP,PHP,Scripting languages
Adobe ColdFusion,CFML programming language,Scripting languages
Adobe ColdFusion,CFML compilers,Scripting languages
Comparison of web template engines,Template engines,Scripting languages
CFScript,CFML programming language,Scripting languages
Web template system,Template engines,Scripting languages
HTMLBars,Template engines,Scripting languages
Template processor,Template engines,Scripting languages
Microformat,Microformats,Semantic HTML
XOXO (microformat),Microformats,Semantic HTML
XHTML Friends Network,Microformats,Semantic HTML
Microformat,Microformats,Semantic Web
Microformat,Semantic HTML,Semantic Web
Schema.org,Semantic HTML,Semantic Web
RDF Schema,Resource Description Framework,Semantic Web
Jena (framework),Resource Description Framework,Semantic Web
Jena (framework),Triplestores,Semantic Web
RDF Inference Language,Resource Description Framework,Semantic Web
Linked Data Platform,Resource Description Framework,Semantic Web
JRDF (framework),Resource Description Framework,Semantic Web
JRDF (framework),Triplestores,Semantic Web
Stardog,Resource Description Framework,Semantic Web
Stardog,Triplestores,Semantic Web
SparkleDB,Resource Description Framework,Semantic Web
Sesame (framework),Resource Description Framework,Semantic Web
Sesame (framework),Triplestores,Semantic Web
Triplestore,Triplestores,Semantic Web
Mulgara (software),Triplestores,Semantic Web
Apache Marmotta,Triplestores,Semantic Web
Tabulator,Triplestores,Semantic Web
BioPAX,Domain-specific knowledge representation languages,Semantic Web
Dublin Core,Bibliography file formats,Semantic Web
BIBFRAME,Bibliography file formats,Semantic Web
Resource Description Framework,Resource Description Framework,Semantic Web
Resource Description Framework,Bibliography file formats,Semantic Web
Virtuoso Universal Server,Triplestores,Semantic Web
Virtuoso Universal Server,RSS,Semantic Web
Versa (query language),RDF data access,Semantic Web
Adenine (programming language),RDF data access,Semantic Web
RDFa,Resource Description Framework,Semantic Web
RDFa,Semantic HTML,Semantic Web
RDFa,Domain-specific knowledge representation languages,Semantic Web
Web Ontology Language,Resource Description Framework,Semantic Web
Web Ontology Language,Web Ontology Language,Semantic Web
RDF/XML,Resource Description Framework,Semantic Web
JModelica.org,Simulation programming languages,Simulation software
NetLogo,Simulation programming languages,Simulation software
Simulink,Simulation programming languages,Simulation software
Wolfram SystemModeler,Simulation programming languages,Simulation software
EMSO simulator,Simulation programming languages,Simulation software
PLCLogix,Simulation programming languages,Simulation software
Simulation software,Simulation programming languages,Simulation software
GoldSim,Simulation programming languages,Simulation software
SimulationX,Simulation programming languages,Simulation software
Dymola,Simulation programming languages,Simulation software
Google Chrome,Google Chrome,Site-specific browsing
Python for S60,Symbian software,Smartphones
Python for S60,S60 (software platform),Smartphones
UIQ,Symbian OS,Smartphones
Comparison of Symbian devices,Symbian OS,Smartphones
Symbian,Symbian OS,Smartphones
Symbian Foundation,Symbian OS,Smartphones
Adaptxt,Symbian software,Smartphones
Sony Ericsson P1,UIQ 3 Phones,Smartphones
Sony Ericsson P990,UIQ 3 Phones,Smartphones
Nokia N73,S60 (software platform),Smartphones
S60 (software platform),S60 (software platform),Smartphones
Nokia 5230,S60 (software platform),Smartphones
Nokia 5250,S60 (software platform),Smartphones
Nokia C5-03,S60 (software platform),Smartphones
Nokia C5-00,S60 (software platform),Smartphones
Nokia E50,S60 (software platform),Smartphones
Nokia 5800 XpressMusic,S60 (software platform),Smartphones
Nokia E90 Communicator,S60 (software platform),Smartphones
Nokia E75,S60 (software platform),Smartphones
Nokia 5530 XpressMusic,S60 (software platform),Smartphones
Spark (XMPP client),Java platform software,Software
Spark (XMPP client),Free software programmed in Java (programming language),Software
DESMO-J,Java (programming language) libraries,Software
Samba TV,Free software programmed in Python,Software
Streak (company),Google Chrome extensions,Software add-ons
Google Chrome,Google Chrome,Software based on WebKit
Google Chrome for Android,Google Chrome,Software based on WebKit
Google Chrome Frame,Google Chrome,Software based on WebKit
Chromium (web browser),Google Chrome,Software based on WebKit
Crosswalk Project,Google Chrome,Software based on WebKit
Meta-process modeling,Unified Modeling Language,Software engineering
Specification language,Specification languages,Software engineering
Message sequence chart,Unified Modeling Language diagrams,Software modeling language
Unified Modeling Language,Unified Modeling Language,Software modeling language
Alfresco (software),Free software programmed in Java (programming language),Software programmed in Java (programming language)
ACARM (software),Free software programmed in Java (programming language),Software programmed in Java (programming language)
EXo Platform,Free software programmed in Java (programming language),Software programmed in Java (programming language)
JSwat,Free software programmed in Java (programming language),Software programmed in Java (programming language)
Use case,Systems Modeling Language,Software requirements
Use case,Unified Modeling Language,Software requirements
Use Case Diagram,Unified Modeling Language diagrams,Software requirements
Use Case Diagram,Systems Modeling Language,Software requirements
Use Case Diagram,Unified Modeling Language,Software requirements
ERequirements,UML tools,Software requirements
ERequirements,Unified Modeling Language stubs,Software requirements
Requirements management,Systems Modeling Language,Software requirements
Requirement Diagram,Systems Modeling Language,Software requirements
ChucK,Audio programming languages,Software synthesizers
SuperCollider,Audio programming languages,Software synthesizers
Extempore (software),Audio programming languages,Software synthesizers
Common Lisp Music,Audio programming languages,Software synthesizers
Max (software),Audio programming languages,Software synthesizers
Kyma (sound design language),Audio programming languages,Software synthesizers
Bidule,Audio programming languages,Software synthesizers
Pure Data,Audio programming languages,Software synthesizers
Nyquist (programming language),Audio programming languages,Software synthesizers
Comparison of audio synthesis environments,Audio programming languages,Software synthesizers
Csound,Audio programming languages,Software synthesizers
MUSIC-N,Audio programming languages,Software synthesizers
Pybliographer,Software that uses PyGTK,Software that uses GTK+
Devilspie2,GNOME Applications,Software that uses GTK+
Tasque (software),GNOME Applications,Software that uses GTK+
GNOME Calculator,GNOME Core Applications,Software that uses GTK+
GNOME Character Map,GNOME Core Applications,Software that uses GTK+
GNOME Core Applications,GNOME Core Applications,Software that uses GTK+
GNOME Disks,GNOME Core Applications,Software that uses GTK+
Subsurface (software),Software that was ported from GTK+ to Qt,Software that uses GTK+
Nemiver,GNOME Developer Tools,Software that uses GTK+
Gwibber,Software that uses PyGTK,Software that uses GTK+
Gwibber,Software that was ported from GTK+ to Qt,Software that uses GTK+
Gwibber,GNOME Applications,Software that uses GTK+
Meld (software),GNOME Developer Tools,Software that uses GTK+
MComix,Software that uses PyGTK,Software that uses GTK+
OCRFeeder,Software that uses PyGTK,Software that uses GTK+
OCRFeeder,GNOME Applications,Software that uses GTK+
Dconf-editor,GNOME Core Applications,Software that uses GTK+
GCstar,GNOME Applications,Software that uses GTK+
GNOME Devhelp,GNOME Developer Tools,Software that uses GTK+
Glade Interface Designer,GNOME Developer Tools,Software that uses GTK+
KeePass,Software that was ported from Qt to Mono,Software that uses Mono
Quanta Plus,KDE software,Software that uses Qt
TaskJuggler,KDE software,Software that uses Qt
Wireshark,Software that was ported from GTK+ to Qt,Software that uses Qt
LabPlot,KDE software,Software that uses Qt
Subsurface (software),Software that was ported from GTK+ to Qt,Software that uses Qt
PCMan File Manager,Software that was ported from GTK+ to Qt,Software that uses Qt
KGeography,KDE Education Project,Software that uses Qt
KGeography,KDE software,Software that uses Qt
Kdetv,KDE Extragear,Software that uses Qt
Kdetv,KDE software,Software that uses Qt
KMyMoney,KDE software,Software that uses Qt
RKWard,KDE software,Software that uses Qt
Kolf (video game),KDE games,Software that uses Qt
KRDC,KDE software,Software that uses Qt
KRDC,KDE Software Compilation,Software that uses Qt
RSIBreak,KDE Extragear,Software that uses Qt
KSnapshot,KDE software,Software that uses Qt
Krusader,KDE Extragear,Software that uses Qt
Krusader,KDE software,Software that uses Qt
GNU Octave,Science software that uses Qt,Software that uses Qt
KBounce,KDE games,Software that uses Qt
DCOP,KDE Platform,Software that uses Qt
ARts,KDE Platform,Software that uses Qt
Okular,KDE Software Compilation,Software that uses Qt
Simple Desktop Display Manager,KDE Software Compilation,Software that uses Qt
KWallet,KDE software,Software that uses Qt
KWallet,KDE Software Compilation,Software that uses Qt
Dolphin (file manager),KDE Software Compilation,Software that uses Qt
KCalc,KDE software,Software that uses Qt
KCalc,KDE Software Compilation,Software that uses Qt
Kiten (program),KDE Education Project,Software that uses Qt
Kiten (program),KDE software,Software that uses Qt
Kiten (program),KDE Software Compilation,Software that uses Qt
Kiten (program),Dictionary software that uses Qt,Software that uses Qt
Kate (text editor),KDE Software Compilation,Software that uses Qt
Kinfocenter,KDE software,Software that uses Qt
Kinfocenter,KDE Software Compilation,Software that uses Qt
KDE Display Manager,KDE Software Compilation,Software that uses Qt
KWrite,KDE software,Software that uses Qt
KWrite,KDE Software Compilation,Software that uses Qt
Lokalize,KDE software,Software that uses Qt
Lokalize,KDE Software Compilation,Software that uses Qt
Kig (software),KDE Education Project,Software that uses Qt
Kig (software),KDE software,Software that uses Qt
Kig (software),KDE Software Compilation,Software that uses Qt
KHangMan,KDE Education Project,Software that uses Qt
KHangMan,KDE software,Software that uses Qt
Step (software),KDE Education Project,Software that uses Qt
Step (software),KDE software,Software that uses Qt
KTouch,KDE Education Project,Software that uses Qt
KTouch,KDE software,Software that uses Qt
BasKet Note Pads,KDE software,Software that uses Qt
KGPG,KDE software,Software that uses Qt
Tellico,KDE software,Software that uses Qt
KPDF,KDE software,Software that uses Qt
KVIrc,KDE software,Software that uses Qt
SuperKaramba,KDE software,Software that uses Qt
Twinkle (software),KDE software,Software that uses Qt
Filelight,KDE Extragear,Software that uses Qt
KeePass,Software that was ported from Qt to Mono,Software that uses Qt
Guvera,Symbian software,Software that uses Qt
MuseScore,Audio software that uses Qt,Software that uses Qt
Parallels Desktop for Mac,Proprietary software that uses Qt,Software that uses Qt
LXDE,Software that was ported from GTK+ to Qt,Software that uses Qt
Spotify,Symbian software,Software that uses Qt
Marble (software),KDE Education Project,Software that uses Qt
BitTorrent (software),Software that uses wxPython,Software that uses wxWidgets
Dropbox (service),Software that uses wxPython,Software that uses wxWidgets
ERIL,Data modeling languages,Specification languages
ERIL,Software modeling language,Specification languages
Meta-Object Facility,Unified Modeling Language,Specification languages
Business Process Execution Language,XML-based standards,Specification languages
Object process methodology,Data modeling languages,Specification languages
Franca IDL,Data modeling languages,Specification languages
XPDL,XML-based standards,Specification languages
Interface description language,Data modeling languages,Specification languages
Unified Modeling Language,Data modeling languages,Specification languages
Unified Modeling Language,Software modeling language,Specification languages
Unified Modeling Language,Unified Modeling Language,Specification languages
BPEL script,XML-based standards,Specification languages
OGML,Data modeling languages,Specification languages
Algebraic Petri net,Petri nets,Specification languages
TLA+,Formal specification languages,Specification languages
Fundamental modeling concepts,Data modeling languages,Specification languages
HOOD method,Data modeling languages,Specification languages
SoaML,Data modeling languages,Specification languages
SoaML,Unified Modeling Language stubs,Specification languages
SoaML,Unified Modeling Language,Specification languages
Object-Z,Formal specification languages,Specification languages
Object-Z,Z notation,Specification languages
OASIS TOSCA,XML-based standards,Specification languages
Z++,Z notation,Specification languages
CO-OPN,Petri nets,Specification languages
Z notation,Formal specification languages,Specification languages
Z notation,Z notation,Specification languages
Pyspread,Free spreadsheet software,Spreadsheet software
Quattro Pro,Spreadsheet software for Windows,Spreadsheet software
Lotus 1-2-3,Spreadsheet software for Windows,Spreadsheet software
Microsoft Excel,Spreadsheet software for OS X,Spreadsheet software
Microsoft Excel,Spreadsheet software for Windows,Spreadsheet software
CSV application support,Spreadsheet file formats,Spreadsheet software
Numbers (spreadsheet),Spreadsheet software for OS X,Spreadsheet software
S2 Spreadsheet,Spreadsheet software for Windows,Spreadsheet software
As-Easy-As,Spreadsheet software for Windows,Spreadsheet software
LibreOffice Calc,Free spreadsheet software,Spreadsheet software
LibreOffice Calc,Spreadsheet software for OS X,Spreadsheet software
LibreOffice Calc,Spreadsheet software for Windows,Spreadsheet software
NeoOffice,Spreadsheet software for OS X,Spreadsheet software
Forth (programming language),Forth programming language family,Stack-oriented programming languages
SPARK (programming language),Ada (programming language),Statically typed programming languages
Ada (programming language),Ada (programming language),Statically typed programming languages
Rust (programming language),Rust (programming language),Statically typed programming languages
Plus (programming language),Pascal programming language family,Statically typed programming languages
Pascal/MT+,Pascal programming language family,Statically typed programming languages
Prospero Pascal,Pascal programming language family,Statically typed programming languages
GNU Pascal,Pascal programming language family,Statically typed programming languages
GNU Pascal,Pascal compilers,Statically typed programming languages
MATLAB,Statistical programming languages,Statistical software
DADiSP,Statistical programming languages,Statistical software
Plotly,Statistical programming languages,Statistical software
SAS (software),Statistical programming languages,Statistical software
Gretl,Statistical programming languages,Statistical software
SHAZAM (software),Statistical programming languages,Statistical software
RKWard,Free R (programming language) software,Statistical software
SPSS,Statistical programming languages,Statistical software
Analytica (software),Statistical programming languages,Statistical software
R (programming language),R (programming language),Statistical software
XLispStat,Statistical programming languages,Statistical software
Distributed R,R (programming language),Statistical software
RExcel,R (programming language),Statistical software
Mathematica,Statistical programming languages,Statistical software
Speakeasy (computational environment),Statistical programming languages,Statistical software
Quantum (statistical programming language),Statistical programming languages,Statistical software
OxMetrics,Statistical programming languages,Statistical software
World Programming System,Statistical programming languages,Statistical software
GAUSS (software),Statistical programming languages,Statistical software
Rapira,Pascal programming language family,Structured programming languages
COMAL,Pascal (programming language),Structured programming languages
Pascal/MT+,Pascal programming language family,Structured programming languages
Prospero Pascal,Pascal programming language family,Structured programming languages
GNU Pascal,Pascal programming language family,Structured programming languages
GNU Pascal,Pascal compilers,Structured programming languages
Dynamic Cascading Style Sheets,Cascading Style Sheets,Stylesheet languages
Cascading Style Sheets,Cascading Style Sheets,Stylesheet languages
Java (programming language),Java (programming language),Sun Microsystems
Java (programming language),Java specification requests,Sun Microsystems
Java concurrency,Java (programming language),Sun Microsystems
JavaTest harness,Java (programming language),Sun Microsystems
Oak (programming language),Java (programming language),Sun Microsystems
Sun Web Developer Pack,Java (programming language),Sun Microsystems
StarOffice,OpenOffice,Sun Microsystems software
Systems Modeling Language,Systems Modeling Language,Systems engineering
SysML Partners,Systems Modeling Language,Systems engineering
Requirements management,Systems Modeling Language,Systems engineering
Requirement Diagram,Systems Modeling Language,Systems engineering
C (programming language),C (programming language),Systems programming languages
C (programming language),C programming language family,Systems programming languages
Rust (programming language),Rust (programming language),Systems programming languages
D (programming language),C programming language family,Systems programming languages
TeX,Free TeX software,TeX
Collection of Computer Science Bibliographies,BibTeX,TeX
New Typesetting System,Free TeX software,TeX
Template:LaTeX navbox,Free TeX software,TeX
Template:TeX navbox,Free TeX software,TeX
LuaTeX,Free TeX software,TeX
XeTeX,Free TeX software,TeX
XeTeX,Linux TeX software,TeX
LaTeXila,Free TeX editors,TeX editors
AUCTeX,Free TeX editors,TeX editors
Gummi (software),Free TeX editors,TeX editors
Kile,Free TeX editors,TeX editors
Kile,TeX editors that use Qt,TeX editors
TeXstudio,Free TeX editors,TeX editors
TeXstudio,TeX editors that use Qt,TeX editors
LyX,Free TeX editors,TeX editors
LyX,TeX editors that use Qt,TeX editors
TeXnicCenter,Free TeX editors,TeX editors
TeXworks,Free TeX editors,TeX editors
TeXworks,TeX editors that use Qt,TeX editors
Comparison of TeX editors,Free TeX editors,TeX editors
MeWa,Free TeX editors,TeX editors
GNU TeXmacs,Free TeX editors,TeX editors
AgcXML,XML markup languages,Technical communication
Flowchart,Algorithm description languages,Technical communication
Hardware description language,Hardware description languages,Technical communication
People Finder Interchange Format,Data modeling languages,Technical communication
People Finder Interchange Format,XML,Technical communication
Extensible Forms Description Language,Data modeling languages,Technical communication
Extensible Forms Description Language,XML markup languages,Technical communication
Parameter Value Language,Data modeling languages,Technical communication
Standard Generalized Markup Language,Data modeling languages,Technical communication
EbXML,Data modeling languages,Technical communication
EbXML,XML markup languages,Technical communication
EbXML,XML-based standards,Technical communication
SDEP,Data modeling languages,Technical communication
SDEP,XML markup languages,Technical communication
XML,Data modeling languages,Technical communication
XML,XML,Technical communication
DITA Open Toolkit,XML,Technical communication
DITA Open Toolkit,XML-based standards,Technical communication
Metadata Encoding and Transmission Standard,XML,Technical communication
Darwin Information Typing Architecture,Document-centric XML-based standards,Technical communication
Darwin Information Typing Architecture,XML,Technical communication
Darwin Information Typing Architecture,XML-based standards,Technical communication
Global information management Metrics eXchange,XML,Technical communication
Global information management Metrics eXchange,XML-based standards,Technical communication
ALTO (XML),XML,Technical communication
Internationalization Tag Set,XML,Technical communication
Component content management system,XML,Technical communication
Component content management system,XML-based standards,Technical communication
Segmentation Rules eXchange,XML markup languages,Technical communication
Segmentation Rules eXchange,XML-based standards,Technical communication
Advanced Distributed Learning,XML-based standards,Technical communication
AS4,XML-based standards,Technical communication
Easytrade,XML-based standards,Technical communication
CALS Table Model,XML markup languages,Technical communication
CALS Table Model,XML-based standards,Technical communication
Xml:tm,XML markup languages,Technical communication
Xml:tm,XML-based standards,Technical communication
Nested Context Language,XML-based standards,Technical communication
OAXAL,XML markup languages,Technical communication
OAXAL,XML-based standards,Technical communication
Water Data Transfer Format,XML-based standards,Technical communication
Mumasy,XML markup languages,Technical communication
Mumasy,Document-centric XML-based standards,Technical communication
DocBook,Document-centric XML-based standards,Technical communication
DocBook,DocBook,Technical communication
Gwrite,Automated WYSIWYG editors,Text editors
Gwrite,Free HTML editors,Text editors
Gwrite,HTML editors,Text editors
Quark Author,XML editors,Text editors
Adobe FrameMaker,XML editors,Text editors
Quark XML Author,XML editors,Text editors
Comparison of JavaScript-based source code editors,JavaScript-based HTML editors,Text editors
Sublime Text,XML editors,Text editors
Sublime Text,HTML editors,Text editors
Visual Studio Code,XML editors,Text editors
Visual Studio Code,HTML editors,Text editors
Codelobster,XML editors,Text editors
Codelobster,HTML editors,Text editors
Atom (text editor),XML editors,Text editors
Atom (text editor),HTML editors,Text editors
Peppermint (editor),XML editors,Text editors
Peppermint (editor),HTML editors,Text editors
C preprocessor,Macro programming languages,Transformation languages
TeX,Free TeX software,Typesetting software
TeX,TeX,Typesetting software
Computers and Typesetting,TeX,Typesetting software
Prince (software),Typesetting programming languages,Typesetting software
Software Ideas Modeler,Free UML tools,UML tools
Acceleo,Free UML tools,UML tools
Modelio,Free UML tools,UML tools
Telelogic,Systems Modeling Language,Unified Modeling Language
Use case,Systems Modeling Language,Unified Modeling Language
Powertype (UML),Unified Modeling Language stubs,Unified Modeling Language
Enterprise Distributed Object Computing,Unified Modeling Language stubs,Unified Modeling Language
Modeling and Analysis of Real Time and Embedded systems,Unified Modeling Language stubs,Unified Modeling Language
Systems Modeling Language,Systems Modeling Language,Unified Modeling Language
UML Partners,Unified Modeling Language stubs,Unified Modeling Language
Package (UML),Unified Modeling Language stubs,Unified Modeling Language
Model-driven integration,Unified Modeling Language stubs,Unified Modeling Language
Umple,Free UML tools,Unified Modeling Language
Event (UML),Unified Modeling Language stubs,Unified Modeling Language
Component (UML),Unified Modeling Language stubs,Unified Modeling Language
ObjecTime Developer,UML tools,Unified Modeling Language
Object-modeling technique,Unified Modeling Language stubs,Unified Modeling Language
Actor (UML),Unified Modeling Language stubs,Unified Modeling Language
Use Case Diagram,Unified Modeling Language diagrams,Unified Modeling Language
Use Case Diagram,Systems Modeling Language,Unified Modeling Language
Reich Technologies,Unified Modeling Language stubs,Unified Modeling Language
Action (UML),Unified Modeling Language stubs,Unified Modeling Language
Dependency (UML),Unified Modeling Language stubs,Unified Modeling Language
UML-based web engineering,Unified Modeling Language stubs,Unified Modeling Language
Node (UML),Unified Modeling Language stubs,Unified Modeling Language
UXF,Unified Modeling Language stubs,Unified Modeling Language
Stereotype (UML),Unified Modeling Language stubs,Unified Modeling Language
ATLAS Transformation Language,Free UML tools,Unified Modeling Language
XML Metadata Interchange,Systems Modeling Language,Unified Modeling Language
Profile (UML),Systems Modeling Language,Unified Modeling Language
Profile (UML),Unified Modeling Language stubs,Unified Modeling Language
Modeling Maturity Levels,Unified Modeling Language stubs,Unified Modeling Language
UML tool,UML tools,Unified Modeling Language
Kermeta,Free UML tools,Unified Modeling Language
UPDM,Systems Modeling Language,Unified Modeling Language
Activity (UML),Unified Modeling Language stubs,Unified Modeling Language
Classifier (UML),Unified Modeling Language stubs,Unified Modeling Language
SysML Partners,Systems Modeling Language,Unified Modeling Language
SysML Partners,Unified Modeling Language stubs,Unified Modeling Language
SoaML,Unified Modeling Language stubs,Unified Modeling Language
GNU Compiler Collection,C compilers,Unix programming tools
TenDRA Compiler,C compilers,Unix programming tools
Dolphin (file manager),KDE Software Compilation,Unix software
CSS frameworks,Responsive web design,Usability
Responsive web design,Responsive web design,Usability
Progressive enhancement,Responsive web design,Usability
CSS frameworks,Responsive web design,User interfaces
Responsive web design,Responsive web design,User interfaces
Vector Markup Language,Vector graphics markup languages,Vector graphics
Scalable Vector Graphics,Scalable Vector Graphics,Vector graphics markup languages
Avidemux,Video editing software that uses GTK+,Video editing software for Linux
Simple DirectMedia Layer,Simple DirectMedia Layer,Video game development
Diesel (game engine),Lua-scriptable game engines,Video game engines
Cafu Engine,Lua-scriptable game engines,Video game engines
Moai (software),Lua-scriptable game engines,Video game engines
CryEngine,Lua-scriptable game engines,Video game engines
Leadwerks Engine,Lua-scriptable game engines,Video game engines
Hedgehog Engine,Lua-scriptable game engines,Video game engines
ShiVa,Lua-scriptable game engines,Video game engines
CPAGE,Lua-scriptable game engines,Video game engines
